uid,pmcid,title,journal,pubdate,doi,source_query
5641386,PMC5641386,Autonomic Dysfunction in Wilson's Disease: A Comprehensive Evaluation during a 3-Year Follow Up.,Front Physiol,2017,10.3389/fphys.2017.00778,dysautonomia; autonomic_dysfunction
5516616,PMC5516616,The effect of deep brain stimulation on the non-motor symptoms of Parkinson's disease: a critical review of the current evidence.,NPJ Parkinsons Dis,2017,10.1038/npjparkd.2016.24,dysautonomia
5420039,PMC5420039,Use of Biotronik closed loop pacemaker to treat recurrent syncope in pediatric patient with dysautonomia.,HeartRhythm Case Rep,2017 Jan,10.1016/j.hrcr.2016.07.009,dysautonomia
5322840,PMC5322840,A case report of complex auricular neuralgia treated with the great auricular nerve and facet blocks.,J Pain Res,2017,10.2147/JPR.S126923,dysautonomia
5295145,PMC5295145,Iatrogenic amyloid polyneuropathy after domino liver transplantation.,World J Hepatol,2017 Jan 28,10.4254/wjh.v9.i3.126,dysautonomia
5248946,PMC5248946,Neuroleptic malignant syndrome: an easily overlooked neurologic emergency.,Neuropsychiatr Dis Treat,2017,10.2147/NDT.S118438,dysautonomia
5129599,PMC5129599,Paradoxical physiological responses to propranolol in a Rett syndrome patient: a case report.,BMC Pediatr,2016 Nov 29,10.1186/s12887-016-0734-3,dysautonomia
5127153,PMC5127153,Familial Dysautonomia: Mechanisms and Models.,Genet Mol Biol,2016 Oct-Dec,10.1590/1678-4685-GMB-2015-0335,dysautonomia
4644823,PMC4644823,"GABAB Encephalitis: A Fifty-Two-Year-Old Man with Seizures, Dysautonomia, and Acute Heart Failure.",Case Rep Neurol Med,2015,10.1155/2015/812035,dysautonomia
4581459,PMC4581459,Acute symptomatic sinus bradycardia in a woman treated with pulse dose steroids for multiple sclerosis: a case report.,J Med Case Rep,2015 Sep 24,10.1186/s13256-015-0701-x,dysautonomia
